batch,seed,sample_id,image_path,v12,v21,volfrac_achieved,obj_value,converged,volfrac,penal,rmin,move,void_size_frac,n_components,is_connected,degenerate,solid_frac
3,four_circle,558,outputs/multi_batch/batch_3/four_circle/sample_0558/iteration_00118.png,-0.3256269169247356,-0.3220568822794838,0.475917,0.5714868465941922,True,0.475917,3.403252,1.279804,0.110493,0.514589,3,False,False,0.467529296875
3,four_circle,560,outputs/multi_batch/batch_3/four_circle/sample_0560/iteration_00150.png,-0.0324806685652759,-0.0226169715277635,0.521454,1.3411112633100584,True,0.563904,3.491874,1.695078,0.240899,0.436582,2,False,False,0.537109375
3,four_circle,561,outputs/multi_batch/batch_3/four_circle/sample_0561/iteration_00150.png,0.0344495601692446,0.0339952862742093,0.562332,1.3964909724073662,True,0.581264,4.104501,2.204209,0.102907,0.390203,4,False,False,0.571044921875
3,four_circle,563,outputs/multi_batch/batch_3/four_circle/sample_0563/iteration_00150.png,0.018429728966017,0.0126967323297049,0.455643,1.5905786347782578,True,0.486693,4.360856,2.051634,0.189955,0.312726,5,False,False,0.4541015625
3,four_circle,564,outputs/multi_batch/batch_3/four_circle/sample_0564/iteration_00108.png,-0.0949995980226068,-0.1180490113442308,0.451514,0.9615892594932004,True,0.451515,2.532535,2.338748,0.17373,0.283197,3,False,False,0.460205078125
3,four_circle,566,outputs/multi_batch/batch_3/four_circle/sample_0566/iteration_00115.png,0.0333616174695239,0.0271711258012455,0.45034,1.4892972014823078,True,0.608653,3.026185,1.905388,0.136534,0.360699,2,False,False,0.45849609375
3,four_circle,570,outputs/multi_batch/batch_3/four_circle/sample_0570/iteration_00115.png,-0.1784077379654673,-0.1870531641129147,0.498119,0.7802812185078225,True,0.498119,3.207793,2.494308,0.090452,0.453743,3,False,False,0.50146484375
3,four_circle,574,outputs/multi_batch/batch_3/four_circle/sample_0574/iteration_00150.png,-0.28276507972966,-0.2869024732389252,0.516804,0.7970718274186457,True,0.516804,2.623277,1.643751,0.12012,0.304749,3,False,False,0.520751953125
3,four_circle,575,outputs/multi_batch/batch_3/four_circle/sample_0575/iteration_00150.png,0.155011860788002,0.1550118607881346,0.626011,1.659351133003787,True,0.628349,4.929152,2.259609,0.236036,0.482235,3,False,False,0.713623046875
3,four_circle,577,outputs/multi_batch/batch_3/four_circle/sample_0577/iteration_00150.png,-0.4642314104489917,-0.4608089801004733,0.692497,0.0746188147117676,True,0.6948,3.677421,1.009385,0.123771,0.355992,3,False,False,0.687255859375
3,four_circle,581,outputs/multi_batch/batch_3/four_circle/sample_0581/iteration_00150.png,-0.3315819886333084,-0.33158318072441,0.590146,0.7230545274660362,True,0.590146,4.591161,1.862807,0.090952,0.504398,3,False,False,0.60107421875
3,four_circle,590,outputs/multi_batch/batch_3/four_circle/sample_0590/iteration_00150.png,-0.1752384187800016,-0.1860637040018383,0.504711,0.9779287078454586,True,0.505354,2.112513,1.947828,0.103189,0.253999,4,False,False,0.5048828125
3,four_circle,596,outputs/multi_batch/batch_3/four_circle/sample_0596/iteration_00150.png,-0.237692290357569,-0.24211709505527,0.484826,0.8060658919758144,True,0.484826,2.976596,1.623871,0.168082,0.548764,5,False,False,0.476806640625
3,four_circle,597,outputs/multi_batch/batch_3/four_circle/sample_0597/iteration_00150.png,-0.0648774355438449,-0.0742254777981615,0.526448,1.6566029533415083,True,0.654471,3.869779,2.226751,0.0756,0.276249,2,False,False,0.53759765625
3,small_square_cross,611,outputs/multi_batch/batch_3/small_square_cross/sample_0611/iteration_00150.png,-0.344198490486142,-0.2974561767722204,0.591402,0.8196118877668753,True,0.591403,4.563849,1.899235,0.248323,0.387668,2,False,False,0.59716796875
3,small_square_cross,614,outputs/multi_batch/batch_3/small_square_cross/sample_0614/iteration_00150.png,-0.3292144850083632,-0.2936006805982392,0.490006,0.6923509035466531,True,0.490006,2.427606,2.031719,0.145769,0.250581,2,False,False,0.496826171875
3,small_square_cross,637,outputs/multi_batch/batch_3/small_square_cross/sample_0637/iteration_00150.png,-0.2872886507756145,-0.2822042256964789,0.55714,0.8196184620752514,True,0.576025,4.859601,1.470915,0.080463,0.304561,5,False,False,0.563232421875
3,small_square_cross,655,outputs/multi_batch/batch_3/small_square_cross/sample_0655/iteration_00150.png,-0.2748147933078675,-0.3174876913440493,0.366856,1.5033753891644168,True,0.53714,4.445538,1.60319,0.15453,0.507103,2,False,False,0.368896484375
3,small_square_cross,656,outputs/multi_batch/batch_3/small_square_cross/sample_0656/iteration_00150.png,-0.173749047968086,-0.173749047968239,0.610801,0.7094931722548308,True,0.624832,2.591057,1.858389,0.174593,0.412456,5,False,False,0.609619140625
3,small_square_cross,662,outputs/multi_batch/batch_3/small_square_cross/sample_0662/iteration_00150.png,-0.3756669435052414,-0.3899620859620366,0.526941,0.7480222497728591,True,0.526941,2.088763,1.262249,0.130325,0.3104,2,False,False,0.521484375
3,small_square_cross,663,outputs/multi_batch/batch_3/small_square_cross/sample_0663/iteration_00150.png,-0.1782877397285707,-0.1794506834999285,0.597003,0.8036890612404232,True,0.603066,4.087261,2.190659,0.185401,0.471859,2,False,False,0.60546875
